iter	Passed	Remaining
0	154	154679
1	156	78320
2	158	52716
3	160	39894
4	162	32381
5	164	27209
6	165	23504
7	167	20740
8	168	18557
9	169	16795
10	170	15352
11	171	14150
12	172	13132
13	174	12257
14	175	11500
15	177	10895
16	178	10306
17	179	9780
18	180	9307
19	181	8885
20	182	8502
21	183	8151
22	184	7832
23	185	7537
24	186	7267
25	187	7017
26	188	6785
27	189	6571
28	191	6398
29	192	6214
30	193	6039
31	194	5874
32	195	5720
33	196	5574
34	197	5438
35	198	5310
36	199	5187
37	200	5071
38	201	4961
39	202	4856
40	203	4756
41	204	4673
42	206	4592
43	207	4505
44	208	4421
45	209	4341
46	210	4265
47	211	4192
48	212	4122
49	213	4054
50	214	3990
51	215	3929
52	216	3869
53	217	3811
54	218	3756
55	220	3710
56	221	3658
57	222	3608
58	223	3559
59	224	3511
60	225	3465
61	226	3420
62	227	3377
63	228	3335
64	229	3296
65	230	3257
66	231	3219
67	231	3176
68	233	3154
69	234	3120
70	235	3086
71	236	3053
72	237	3021
73	238	2989
74	239	2958
75	240	2928
76	241	2898
77	242	2869
78	243	2842
79	244	2815
80	245	2789
81	247	2765
82	248	2745
83	249	2720
84	250	2693
85	251	2670
86	251	2643
87	252	2621
88	253	2599
89	255	2578
90	256	2557
91	257	2536
92	258	2516
93	259	2497
94	260	2477
95	262	2468
96	263	2449
97	264	2431
98	265	2413
99	266	2395
100	267	2378
101	267	2357
102	268	2341
103	269	2324
104	270	2309
105	271	2293
106	272	2277
107	273	2261
108	274	2247
109	276	2238
110	277	2224
111	278	2209
112	279	2195
113	280	2180
114	281	2166
115	282	2151
116	283	2138
117	284	2125
118	285	2110
119	286	2098
120	287	2085
121	288	2073
122	288	2058
123	290	2054
124	291	2042
125	292	2030
126	293	2019
127	294	2005
128	295	1994
129	296	1984
130	297	1973
131	298	1962
132	299	1952
133	300	1942
134	301	1931
135	302	1921
136	304	1915
137	305	1905
138	306	1896
139	307	1887
140	308	1877
141	309	1868
142	310	1859
143	311	1850
144	312	1841
145	313	1832
146	314	1823
147	315	1815
148	316	1806
149	317	1798
150	318	1793
151	319	1785
152	320	1777
153	321	1768
154	322	1760
155	323	1752
156	325	1745
157	326	1737
158	327	1730
159	328	1722
160	329	1715
161	330	1707
162	331	1700
163	332	1697
164	333	1690
165	335	1683
166	335	1675
167	337	1668
168	338	1662
169	339	1655
170	340	1648
171	341	1641
172	342	1635
173	343	1628
