iter	Passed	Remaining
0	641	640795
1	643	321035
2	645	214386
3	646	161083
4	650	129380
5	652	108016
6	653	92748
7	655	81311
8	657	72446
9	659	65309
10	664	59704
11	665	54823
12	667	50684
13	669	47144
14	675	44381
15	683	42024
16	685	39620
17	687	37493
18	689	35580
19	690	33842
20	698	32563
21	700	31127
22	701	29813
23	703	28618
24	705	27509
25	714	26752
26	715	25794
27	720	24999
28	721	24165
29	734	23751
30	766	23958
31	768	23235
32	769	22562
33	776	22067
34	778	21461
35	781	20914
36	784	20422
37	786	19909
38	788	19419
39	789	18959
40	791	18518
41	794	18123
42	796	17728
43	798	17339
44	799	16972
45	801	16624
46	803	16285
47	805	15967
48	806	15661
49	808	15365
50	814	15151
51	816	14878
52	817	14614
53	819	14361
54	822	14123
55	823	13885
56	828	13714
57	831	13497
58	833	13292
59	834	13081
60	836	12879
61	838	12685
62	840	12498
63	842	12314
64	843	12136
65	845	11962
66	847	11798
67	848	11633
68	850	11474
69	852	11323
70	853	11172
71	855	11028
72	857	10885
73	859	10750
74	860	10618
75	863	10500
76	866	10389
77	868	10264
78	870	10145
79	872	10029
80	877	9954
81	879	9846
82	880	9725
83	881	9617
84	884	9525
85	887	9432
86	893	9373
87	895	9279
88	897	9182
89	898	9089
90	900	8996
91	902	8910
92	909	8865
93	911	8782
94	913	8697
95	914	8615
96	916	8533
97	918	8455
98	920	8379
99	922	8302
100	924	8227
101	926	8153
102	927	8081
103	929	8009
104	934	7963
105	938	7912
106	940	7846
107	941	7778
108	943	7711
109	945	7649
110	951	7617
111	952	7555
112	956	7505
113	957	7443
114	959	7383
115	961	7323
116	965	7287
117	974	7286
118	976	7229
119	981	7200
120	983	7148
121	986	7099
122	988	7048
123	991	7002
124	998	6992
125	1001	6943
126	1003	6895
127	1005	6848
128	1007	6802
129	1014	6790
130	1016	6741
131	1017	6693
132	1019	6645
133	1028	6645
134	1034	6625
135	1036	6581
136	1037	6538
137	1045	6530
138	1047	6487
139	1049	6444
140	1050	6401
141	1051	6356
142	1053	6314
143	1059	6296
144	1061	6257
145	1063	6219
146	1065	6181
147	1067	6143
148	1072	6123
149	1074	6087
150	1076	6051
151	1078	6017
152	1081	5985
153	1083	5950
154	1089	5940
155	1091	5904
156	1093	5869
157	1095	5835
158	1097	5802
159	1105	5804
160	1106	5766
161	1108	5733
162	1109	5699
163	1111	5665
164	1113	5633
165	1115	5604
166	1117	5572
167	1118	5540
168	1120	5509
169	1122	5479
170	1123	5448
171	1128	5433
172	1130	5406
173	1132	5376
174	1134	5349
175	1137	5326
176	1143	5317
177	1146	5294
178	1149	5271
179	1151	5244
180	1153	5217
181	1155	5191
182	1160	5182
183	1164	5162
184	1165	5136
185	1167	5110
186	1169	5085
187	1175	5077
188	1178	5057
189	1180	5032
190	1182	5009
191	1184	4984
192	1186	4959
193	1192	4956
194	1194	4932
195	1196	4907
196	1197	4882
197	1199	4858
198	1200	4833
199	1205	4820
200	1206	4797
201	1208	4772
202	1209	4750
203	1211	4726
204	1212	4702
205	1214	4679
206	1215	4656
207	1222	4654
208	1224	4634
209	1226	4613
210	1229	4596
211	1231	4575
212	1238	4576
213	1240	4556
214	1242	4536
215	1244	4516
216	1246	4496
217	1252	4493
218	1254	4473
219	1256	4453
220	1258	4434
221	1260	4418
222	1268	4420
223	1270	4400
224	1271	4380
225	1275	4369
226	1277	4351
227	1285	4352
228	1287	4333
229	1290	4320
230	1292	4301
231	1299	4300
232	1300	4282
233	1302	4264
234	1304	4246
235	1306	4228
236	1307	4210
237	1312	4203
238	1314	4187
239	1316	4169
240	1318	4153
241	1320	4137
242	1322	4120
243	1328	4117
244	1331	4102
245	1332	4085
246	1334	4069
247	1336	4051
248	1337	4033
249	1338	4016
250	1343	4008
251	1345	3992
252	1346	3975
253	1347	3958
254	1349	3942
255	1350	3925
256	1373	3970
257	1375	3954
258	1376	3939
259	1378	3922
260	1379	3905
261	1380	3889
262	1382	3873
263	1383	3856
264	1384	3840
265	1389	3835
266	1391	3821
267	1393	3805
268	1394	3789
269	1395	3773
270	1405	3781
271	1407	3766
272	1408	3751
273	1410	3736
274	1411	3721
275	1412	3706
276	1414	3691
277	1418	3683
278	1420	3670
279	1422	3656
280	1424	3646
281	1426	3632
282	1427	3617
283	1429	3603
284	1433	3595
285	1443	3602
286	1445	3591
287	1454	3594
288	1456	3583
289	1458	3570
290	1461	3560
291	1468	3561
292	1470	3548
293	1473	3538
294	1475	3525
295	1476	3512
296	1481	3507
297	1483	3494
298	1485	3481
299	1486	3469
300	1488	3456
301	1490	3444
302	1495	3440
303	1497	3428
304	1499	3416
305	1501	3405
306	1502	3392
307	1504	3379
308	1505	3366
309	1506	3354
310	1511	3349
311	1513	3337
312	1514	3324
313	1516	3312
314	1517	3300
315	1519	3287
316	1520	3275
317	1521	3263
318	1527	3260
319	1528	3248
320	1530	3236
321	1531	3224
322	1532	3212
323	1534	3200
324	1540	3198
325	1550	3205
326	1552	3194
327	1560	3196
328	1561	3185
329	1563	3173
330	1564	3161
331	1565	3150
332	1567	3138
333	1568	3127
334	1574	3125
335	1575	3113
336	1577	3102
337	1578	3091
338	1579	3080
339	1580	3068
340	1582	3057
341	1583	3046
342	1585	3037
343	1587	3026
344	1588	3015
345	1589	3004
346	1591	2994
347	1592	2983
348	1593	2972
349	1594	2961
350	1599	2957
351	1601	2947
352	1602	2937
353	1603	2926
354	1605	2916
355	1606	2905
356	1607	2895
357	1609	2885
358	1614	2882
359	1616	2873
360	1617	2863
361	1619	2853
362	1620	2844
363	1623	2836
364	1624	2826
365	1630	2823
366	1632	2814
367	1633	2805
368	1636	2797
369	1637	2788
370	1639	2779
371	1644	2776
372	1646	2767
373	1647	2758
374	1649	2748
375	1650	2739
376	1652	2730
377	1653	2721
378	1655	2712
379	1660	2709
380	1662	2700
381	1663	2691
382	1664	2682
383	1666	2672
384	1667	2663
385	1669	2654
386	1674	2651
387	1675	2643
388	1677	2634
389	1678	2625
390	1679	2616
391	1681	2607
392	1682	2598
393	1684	2590
394	1687	2585
395	1689	2577
396	1691	2569
397	1692	2560
398	1694	2552
399	1695	2543
400	1697	2535
401	1698	2526
402	1702	2522
403	1704	2514
404	1705	2506
405	1707	2498
406	1708	2489
407	1712	2484
408	1713	2475
409	1719	2474
410	1720	2466
411	1722	2457
412	1723	2449
413	1725	2442
414	1728	2436
415	1732	2431
416	1733	2424
417	1735	2416
418	1737	2408
419	1739	2401
420	1740	2394
421	1742	2386
422	1743	2378
423	1750	2377
424	1752	2370
425	1753	2362
426	1754	2354
427	1756	2347
428	1757	2339
429	1758	2331
430	1761	2325
431	1762	2317
432	1764	2310
433	1765	2302
434	1766	2294
435	1768	2287
436	1769	2279
437	1770	2272
438	1772	2264
439	1773	2257
440	1775	2250
441	1776	2242
442	1777	2235
443	1779	2227
444	1780	2221
445	1782	2214
446	1792	2217
447	1794	2210
448	1795	2203
449	1797	2196
450	1804	2196
451	1805	2189
452	1807	2182
453	1808	2174
454	1809	2167
455	1811	2160
456	1812	2153
457	1819	2153
458	1821	2146
459	1823	2140
460	1825	2134
461	1826	2127
462	1828	2120
463	1833	2118
464	1835	2111
465	1836	2104
466	1837	2097
467	1839	2090
468	1840	2083
469	1841	2076
470	1842	2069
471	1847	2066
472	1849	2060
473	1850	2053
474	1851	2046
475	1853	2040
476	1854	2033
477	1856	2027
478	1857	2020
479	1861	2016
480	1863	2010
481	1865	2004
482	1866	1997
483	1868	1991
484	1869	1985
485	1871	1978
486	1872	1972
487	1873	1965
488	1875	1960
489	1877	1954
490	1878	1947
491	1880	1941
492	1881	1935
493	1883	1929
494	1884	1923
495	1890	1920
496	1892	1914
497	1893	1908
498	1894	1902
499	1896	1896
500	1897	1890
501	1899	1884
502	1900	1878
503	1906	1875
504	1908	1870
505	1910	1864
506	1912	1859
507	1914	1853
508	1915	1847
509	1920	1845
510	1922	1839
511	1923	1833
512	1924	1827
513	1926	1821
514	1927	1815
515	1928	1809
516	1930	1803
517	1934	1799
518	1936	1794
519	1937	1788
520	1939	1783
521	1940	1776
522	1941	1771
523	1943	1765
524	1944	1759
525	1945	1753
526	1950	1751
527	1952	1745
528	1953	1739
529	1955	1734
530	1956	1728
531	1958	1722
532	1959	1716
533	1964	1714
534	1967	1709
535	1968	1704
536	1969	1698
537	1971	1692
538	1972	1686
539	1973	1681
540	1975	1675
541	1979	1672
542	1981	1667
543	1983	1662
544	1985	1658
545	1987	1652
546	1988	1647
547	1990	1641
548	1996	1639
549	1998	1635
550	1999	1629
551	2002	1625
552	2004	1620
553	2006	1614
554	2011	1612
555	2012	1607
556	2014	1601
557	2015	1596
558	2016	1590
559	2017	1585
560	2019	1580
561	2024	1577
562	2026	1572
563	2027	1567
564	2029	1562
565	2030	1556
566	2031	1551
567	2032	1546
568	2034	1540
569	2039	1538
570	2041	1533
571	2042	1528
572	2043	1523
573	2045	1518
574	2046	1512
575	2048	1507
576	2049	1502
577	2051	1497
578	2052	1492
579	2054	1487
580	2056	1482
581	2057	1477
582	2062	1475
583	2064	1470
584	2065	1465
585	2066	1460
586	2068	1455
587	2069	1450
588	2071	1445
589	2072	1440
590	2077	1437
591	2079	1433
592	2080	1428
593	2082	1423
594	2083	1418
595	2085	1413
596	2086	1408
597	2087	1403
598	2091	1399
599	2092	1395
600	2094	1390
601	2096	1386
602	2097	1381
603	2098	1376
604	2104	1373
605	2106	1369
606	2107	1364
607	2108	1359
608	2110	1354
609	2111	1349
610	2112	1345
611	2114	1340
612	2119	1338
613	2121	1333
614	2122	1328
615	2124	1324
616	2125	1319
617	2127	1314
618	2128	1310
619	2132	1307
620	2135	1303
621	2137	1298
622	2138	1294
623	2139	1289
624	2141	1284
625	2142	1279
626	2143	1275
627	2148	1272
628	2150	1268
629	2152	1263
630	2153	1259
631	2155	1254
632	2156	1250
633	2157	1245
634	2158	1240
635	2164	1238
636	2166	1234
637	2168	1230
638	2169	1225
639	2170	1220
640	2172	1216
641	2173	1211
642	2178	1209
643	2180	1205
644	2182	1201
645	2184	1197
646	2186	1193
647	2188	1188
648	2189	1184
649	2195	1182
650	2197	1178
651	2198	1173
652	2200	1169
653	2201	1164
654	2202	1160
655	2204	1155
656	2209	1153
657	2210	1149
658	2212	1144
659	2213	1140
660	2214	1135
661	2216	1131
662	2217	1127
663	2219	1122
664	2222	1119
665	2224	1115
666	2226	1111
667	2228	1107
668	2229	1103
669	2230	1098
670	2231	1094
671	2236	1091
672	2237	1087
673	2239	1083
674	2240	1078
675	2242	1074
676	2243	1070
677	2245	1066
678	2246	1061
679	2247	1057
680	2250	1054
681	2251	1049
682	2253	1045
683	2256	1042
684	2257	1038
685	2258	1034
686	2261	1030
687	2262	1026
688	2264	1021
689	2265	1017
690	2266	1013
691	2267	1009
692	2269	1005
693	2270	1001
694	2275	998
695	2277	994
696	2278	990
697	2282	987
698	2284	983
699	2285	979
700	2293	978
701	2295	974
702	2296	970
703	2298	966
704	2299	962
705	2301	958
706	2307	956
707	2308	952
708	2310	948
709	2311	944
710	2312	940
711	2314	936
712	2315	932
713	2319	929
714	2322	925
715	2323	921
716	2325	917
717	2326	913
718	2327	909
719	2329	905
720	2330	901
721	2335	899
722	2337	895
723	2338	891
724	2339	887
725	2342	883
726	2343	880
727	2345	876
728	2349	873
729	2351	869
730	2352	865
731	2354	861
732	2355	858
733	2356	854
734	2358	850
735	2359	846
736	2363	843
737	2365	839
738	2366	835
739	2368	832
740	2370	828
741	2372	825
742	2374	821
743	2379	818
744	2381	815
745	2383	811
746	2384	807
747	2385	803
748	2387	800
749	2388	796
750	2389	792
751	2395	789
752	2398	786
753	2399	782
754	2400	779
755	2402	775
756	2403	771
757	2404	767
758	2409	765
759	2410	761
760	2412	757
761	2413	753
762	2414	750
763	2416	746
764	2417	742
765	2419	738
766	2425	736
767	2426	732
768	2427	729
769	2429	725
770	2430	721
771	2432	718
772	2433	714
773	2438	711
774	2440	708
775	2441	704
776	2443	701
777	2444	697
778	2445	693
779	2447	690
780	2448	686
781	2452	683
782	2454	680
783	2456	676
784	2457	673
785	2458	669
786	2460	665
787	2461	662
788	2462	658
789	2464	655
790	2469	652
791	2472	649
792	2474	645
793	2476	642
794	2477	638
795	2479	635
796	2485	633
797	2487	629
798	2488	626
799	2490	622
800	2491	618
801	2492	615
802	2493	611
803	2500	609
804	2501	605
805	2503	602
806	2504	598
807	2505	595
808	2507	592
809	2509	588
810	2514	586
811	2516	582
812	2518	579
813	2519	575
814	2520	572
815	2522	568
816	2523	565
817	2529	562
818	2530	559
819	2532	555
820	2533	552
821	2534	548
822	2536	545
823	2537	542
824	2538	538
825	2543	535
826	2545	532
827	2547	529
828	2548	525
829	2549	522
830	2551	518
831	2552	515
832	2554	512
833	2560	509
834	2562	506
835	2563	502
836	2565	499
837	2567	496
838	2568	492
839	2574	490
840	2576	487
841	2577	483
842	2580	480
843	2582	477
844	2583	473
845	2584	470
846	2587	467
847	2588	463
848	2589	460
849	2590	457
850	2592	453
851	2593	450
852	2594	447
853	2602	444
854	2604	441
855	2606	438
856	2609	435
857	2611	432
858	2617	429
859	2618	426
860	2619	422
861	2621	419
862	2622	416
863	2627	413
864	2629	410
865	2630	407
866	2632	403
867	2633	400
868	2634	397
869	2636	393
870	2637	390
871	2642	387
872	2644	384
873	2645	381
874	2647	378
875	2648	374
876	2649	371
877	2651	368
878	2652	365
879	2657	362
880	2658	359
881	2660	355
882	2661	352
883	2662	349
884	2664	346
885	2665	342
886	2670	340
887	2672	337
888	2676	334
889	2678	331
890	2680	327
891	2681	324
892	2683	321
893	2685	318
894	2686	315
895	2687	311
896	2689	308
897	2690	305
898	2692	302
899	2693	299
900	2699	296
901	2700	293
902	2702	290
903	2703	287
904	2704	283
905	2706	280
906	2710	277
907	2712	274
908	2714	271
909	2716	268
910	2717	265
911	2718	262
912	2719	259
913	2721	256
914	2727	253
915	2729	250
916	2730	247
917	2732	244
918	2733	240
919	2734	237
920	2736	234
921	2740	231
922	2743	228
923	2745	225
924	2747	222
925	2749	219
926	2751	216
927	2761	214
928	2763	211
929	2766	208
930	2767	205
931	2774	202
932	2775	199
933	2776	196
934	2778	193
935	2780	190
936	2782	187
937	2787	184
938	2790	181
939	2792	178
940	2793	175
941	2794	172
942	2796	169
943	2797	165
944	2800	162
945	2803	160
946	2804	156
947	2806	153
948	2807	150
949	2808	147
950	2810	144
951	2816	142
952	2817	138
953	2820	135
954	2821	132
955	2823	129
956	2824	126
957	2831	124
958	2834	121
959	2835	118
960	2837	115
961	2838	112
962	2844	109
963	2846	106
964	2849	103
965	2851	100
966	2853	97
967	2854	94
968	2859	91
969	2861	88
970	2863	85
971	2864	82
972	2867	79
973	2869	76
974	2874	73
975	2876	70
976	2877	67
977	2879	64
978	2880	61
979	2881	58
980	2883	55
981	2890	52
982	2892	50
983	2894	47
984	2896	44
985	2897	41
986	2899	38
987	2906	35
988	2909	32
989	2910	29
990	2911	26
991	2913	23
992	2914	20
993	2923	17
994	2925	14
995	2926	11
996	2928	8
997	2929	5
998	2931	2
999	2936	0
